INFO 2025-03-26 02:25:15,658 autoreload Watching for file changes with StatReloader
INFO 2025-03-26 02:25:24,340 basehttp - Broken pipe from ('127.0.0.1', 53874)
INFO 2025-03-26 02:25:24,344 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,381 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,415 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,453 basehttp - Broken pipe from ('127.0.0.1', 53945)
INFO 2025-03-26 02:25:24,463 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,605 basehttp - Broken pipe from ('127.0.0.1', 53949)
INFO 2025-03-26 02:25:24,613 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,650 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,687 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,717 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,750 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,784 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,820 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,853 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,887 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:24,923 basehttp - Broken pipe from ('127.0.0.1', 53954)
INFO 2025-03-26 02:25:25,039 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,077 basehttp - Broken pipe from ('127.0.0.1', 53958)
INFO 2025-03-26 02:25:25,090 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,124 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,161 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,197 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,234 basehttp - Broken pipe from ('127.0.0.1', 53969)
INFO 2025-03-26 02:25:25,248 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,284 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,326 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,358 basehttp - Broken pipe from ('127.0.0.1', 53972)
INFO 2025-03-26 02:25:25,392 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,430 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,468 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,504 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,543 basehttp - Broken pipe from ('127.0.0.1', 53978)
INFO 2025-03-26 02:25:25,568 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,706 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,744 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,890 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,928 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:25,964 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,005 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,038 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,072 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,103 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,135 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,171 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,204 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,240 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,274 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,305 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,338 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,372 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,409 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:26,442 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,519 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,558 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,589 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,625 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,665 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,693 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,833 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,871 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,902 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,932 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,965 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:31,996 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:32,028 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:32,063 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:32,096 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:32,239 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:32,275 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:32,308 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:32,342 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:32,376 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:28:49,626 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:28:49,723 basehttp "GET /login/?next=/lab-assistant-portal/ HTTP/1.1" 200 6321
INFO 2025-03-26 02:28:49,947 basehttp "GET /login/?next=/lab-assistant-portal/ HTTP/1.1" 200 6321
INFO 2025-03-26 02:28:50,126 basehttp "GET /login/?next=/lab-assistant-portal/ HTTP/1.1" 200 6321
INFO 2025-03-26 02:29:00,545 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:00,587 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:00,636 basehttp "GET /admin-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:00,721 basehttp "GET /admin-portal/dashboard/ HTTP/1.1" 200 28656
INFO 2025-03-26 02:29:04,034 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:04,037 basehttp "GET /login/ HTTP/1.1" 200 6726
INFO 2025-03-26 02:29:09,278 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:09,316 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:09,434 basehttp "GET /student-portal/ HTTP/1.1" 200 28732
WARNING 2025-03-26 02:29:09,522 basehttp "GET /static/img/student_avatar.png HTTP/1.1" 404 1825
INFO 2025-03-26 02:29:12,627 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:12,630 basehttp "GET /login/ HTTP/1.1" 200 6726
INFO 2025-03-26 02:29:18,982 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:19,020 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:19,062 basehttp "GET /hod-portal/ HTTP/1.1" 200 8128
INFO 2025-03-26 02:29:21,297 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:21,301 basehttp "GET /login/ HTTP/1.1" 200 6726
INFO 2025-03-26 02:29:26,861 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:26,894 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:26,934 basehttp "GET /faculty-portal/ HTTP/1.1" 200 11971
INFO 2025-03-26 02:29:31,142 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:31,145 basehttp "GET /login/ HTTP/1.1" 200 6726
INFO 2025-03-26 02:29:38,987 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,021 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,055 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,089 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,126 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,178 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,209 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,347 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,380 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,411 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,441 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,474 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,505 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,536 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,569 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,599 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,631 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,665 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,695 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:39,726 basehttp "GET /redirect/ HTTP/1.1" 302 0
